title, link, level, finished_count, acceptance_rate
문자열 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181952,Lv.0,6,637명,64%
a와 b 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181951,Lv.0,5,431명,75%
문자열 반복해서 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181950,Lv.0,4,810명,83%
대소문자 바꿔서 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181949,Lv.0,3,677명,71%
특수문자 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181948,Lv.0,3,516명,79%
덧셈식 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181947,Lv.0,3,972명,88%
문자열 붙여서 출력하기,https://school.programmers.co.kr/learn/courses/30/lessons/181946,Lv.0,3,935명,89%
문자열 돌리기,https://school.programmers.co.kr/learn/courses/30/lessons/181945,Lv.0,3,394명,86%
홀짝 구분하기,https://school.programmers.co.kr/learn/courses/30/lessons/181944,Lv.0,3,825명,88%
문자열 겹쳐쓰기,https://school.programmers.co.kr/learn/courses/30/lessons/181943,Lv.0,2,649명,74%
문자열 섞기,https://school.programmers.co.kr/learn/courses/30/lessons/181942,Lv.0,2,613명,87%
문자 리스트를 문자열로 변환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181941,Lv.0,3,780명,89%
문자열 곱하기,https://school.programmers.co.kr/learn/courses/30/lessons/181940,Lv.0,4,011명,89%
더 크게 합치기,https://school.programmers.co.kr/learn/courses/30/lessons/181939,Lv.0,2,793명,88%
두 수의 연산값 비교하기,https://school.programmers.co.kr/learn/courses/30/lessons/181938,Lv.0,2,493명,83%
n의 배수,https://school.programmers.co.kr/learn/courses/30/lessons/181937,Lv.0,4,840명,89%
공배수,https://school.programmers.co.kr/learn/courses/30/lessons/181936,Lv.0,4,118명,89%
홀짝에 따라 다른 값 반환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181935,Lv.0,2,549명,88%
조건 문자열,https://school.programmers.co.kr/learn/courses/30/lessons/181934,Lv.0,1,886명,75%
flag에 따라 다른 값 반환하기,https://school.programmers.co.kr/learn/courses/30/lessons/181933,Lv.0,4,225명,89%
코드 처리하기,https://school.programmers.co.kr/learn/courses/30/lessons/181932,Lv.0,1,445명,62%
등차수열의 특정한 항만 더하기,https://school.programmers.co.kr/learn/courses/30/lessons/181931,Lv.0,1,593명,84%
주사위 게임 2,https://school.programmers.co.kr/learn/courses/30/lessons/181930,Lv.0,1,741명,85%
원소들의 곱과 합,https://school.programmers.co.kr/learn/courses/30/lessons/181929,Lv.0,2,685명,89%
이어 붙인 수,https://school.programmers.co.kr/learn/courses/30/lessons/181928,Lv.0,2,149명,89%
